Country,Year,Life expectancy
Albania,2015,75.4804234513104
Albania,2014,76.6790580117341
Albania,2013,75.19833591003871
Albania,2012,75.08089473239619
Albania,2011,74.36010705915176
Albania,2010,73.45083114091439
Algeria,2015,76.10454851332236
Algeria,2014,75.9622648628059
Algeria,2013,74.18100302653345
Algeria,2012,74.03523924499338
Algeria,2011,73.56349872723365
Algeria,2010,73.07629042459166
Bahamas,2015,73.17976474163761
Bahamas,2014,75.89678596188782
Bahamas,2013,72.89404162663301
Bahamas,2012,73.02975689700303
Bahamas,2011,73.10718524717996
Bahamas,2010,73.03118134189019
Bolivia (Plurinational State of),2015,72.31275250970444
Bolivia (Plurinational State of),2014,72.12844335301696
Bolivia (Plurinational State of),2013,71.74047249432725
Bolivia (Plurinational State of),2012,69.35368796655388
Bolivia (Plurinational State of),2011,71.45489175442515
Bolivia (Plurinational State of),2010,72.1469473748649
Bosnia and Herzegovina,2015,73.67686699070038
Bosnia and Herzegovina,2014,74.1693532045349
Bosnia and Herzegovina,2013,75.64049880608471
Bosnia and Herzegovina,2012,74.14175451083383
Bosnia and Herzegovina,2011,73.37702890983076
Bosnia and Herzegovina,2010,71.17464818554366
Colombia,2015,72.94717257098762
Colombia,2014,68.10191680952109
Colombia,2013,72.5528340967778
Colombia,2012,72.84872808528583
Colombia,2011,72.10838931063921
Colombia,2010,74.27625853040834
Croatia,2015,78.03849318484727
Croatia,2014,78.20052767338768
Croatia,2013,78.10000787513718
Croatia,2012,79.40927650547576
Croatia,2011,79.354951312299
Croatia,2010,75.89286690886519
Denmark,2015,81.05586541233498
Denmark,2014,83.8326290506705
Denmark,2013,83.87132351673365
Denmark,2012,80.33515456291099
Denmark,2011,81.82318907740829
Denmark,2010,72.80517581662124
Ethiopia,2015,62.564580822164395
Ethiopia,2014,62.47769399357388
Ethiopia,2013,60.23675136843821
Ethiopia,2012,59.91328243251667
Ethiopia,2011,59.12908865266674
Ethiopia,2010,59.52792752361926
Gambia,2015,63.823094629421846
Gambia,2014,63.64772456224426
Gambia,2013,63.593523943044886
Gambia,2012,63.5704756770971
Gambia,2011,63.025206051160836
Gambia,2010,62.81186524691541
Georgia,2015,73.71221857165543
Georgia,2014,73.37027576929174
Georgia,2013,73.20941665768281
Georgia,2012,75.60004795202654
Georgia,2011,73.2744446012332
Georgia,2010,72.4541295513605
Ghana,2015,66.38166692716473
Ghana,2014,66.64987355873197
Ghana,2013,63.38618661426272
Ghana,2012,65.75440152720735
Ghana,2011,65.2334665672385
Ghana,2010,64.6518906626195
Guinea,2015,60.30869347994093
Guinea,2014,59.59530283396074
Guinea,2013,60.51561838632071
Guinea,2012,59.862197091523754
Guinea,2011,64.67364874813566
Guinea,2010,58.479706726195396
Guinea-Bissau,2015,62.079393549182114
Guinea-Bissau,2014,61.656998493679055
Guinea-Bissau,2013,61.034816885463414
Guinea-Bissau,2012,60.46658553473801
Guinea-Bissau,2011,60.03347540084223
Guinea-Bissau,2010,59.69274629328742
Haiti,2015,66.38170745346062
Haiti,2014,63.33491416089533
Haiti,2013,64.2606473460704
Haiti,2012,63.46985476640422
Haiti,2011,62.4610841200389
Haiti,2010,54.229445060834806
Hungary,2015,78.1321018056819
Hungary,2014,78.23409691690738
Hungary,2013,78.01239862512138
Hungary,2012,77.82051428400665
Hungary,2011,79.77724683539566
Hungary,2010,76.86849262538678
Jamaica,2015,72.65398942508939
Jamaica,2014,72.45695303104003
Jamaica,2013,71.92273389699066
Jamaica,2012,72.29136073825855
Jamaica,2011,71.92512809251119
Jamaica,2010,70.02183481827566
Jordan,2015,74.01428863053219
Jordan,2014,73.84345721431758
Jordan,2013,73.96913340881156
Jordan,2012,73.63002087521068
Jordan,2011,73.74031094094435
Jordan,2010,73.9169929068095
Latvia,2015,77.48778897317962
Latvia,2014,74.54005855196463
Latvia,2013,73.56869345966835
Latvia,2012,77.96051750326666
Latvia,2011,76.15390155639452
Latvia,2010,79.70879326829653
Lebanon,2015,73.22636553843166
Lebanon,2014,73.4677432084644
Lebanon,2013,73.09690917695258
Lebanon,2012,73.60530898342392
Lebanon,2011,73.515824051489
Lebanon,2010,73.5084235848426
Lithuania,2015,77.5821200825215
Lithuania,2014,77.77033371313968
Lithuania,2013,77.43232100711623
Lithuania,2012,74.8175879520999
Lithuania,2011,77.82034679923024
Lithuania,2010,74.73376591926942
Mali,2015,61.08533213802622
Mali,2014,61.20589763255384
Mali,2013,58.797354591866934
Mali,2012,65.13017694657297
Mali,2011,60.20904582691633
Mali,2010,59.37336994972049
Malta,2015,79.83882228875355
Malta,2014,80.30160072111104
Malta,2013,78.67879149334063
Malta,2012,78.52918048673502
Malta,2011,79.9271487887334
Malta,2010,77.11266785741925
Namibia,2015,66.92829156255698
Namibia,2014,66.70543096881539
Namibia,2013,66.6052611262402
Namibia,2012,65.5437896158648
Namibia,2011,64.08321912358304
Namibia,2010,63.371785937043114
Netherlands,2015,83.00090600077924
Netherlands,2014,83.09802369534266
Netherlands,2013,85.38685574069996
Netherlands,2012,82.45085966318814
Netherlands,2011,81.60107167806432
Netherlands,2010,79.9765985879028
Norway,2015,80.99366935310584
Norway,2014,77.99534988833602
Norway,2013,77.87592352454132
Norway,2012,81.13607700894065
Norway,2011,80.40725226092152
Norway,2010,84.55937951781236
Poland,2015,78.73042371326432
Poland,2014,80.89954520545083
Poland,2013,76.96564805308131
Poland,2012,77.84512597344481
Poland,2011,77.85411536469093
Poland,2010,79.74945114993417
Portugal,2015,79.21289629227795
Portugal,2014,76.90519717074773
Portugal,2013,77.46150462226534
Portugal,2012,79.0618162758492
Portugal,2011,79.41293553740502
Portugal,2010,79.16687720627917
Republic of Moldova,2015,72.1457265626002
Republic of Moldova,2014,67.9943915510152
Republic of Moldova,2013,67.98026823207954
Republic of Moldova,2012,72.36044232368558
Republic of Moldova,2011,69.68837783212084
Republic of Moldova,2010,65.20805416113265
Samoa,2015,72.3176501692404
Samoa,2014,71.99569381928684
Samoa,2013,73.03000713394827
Samoa,2012,71.71475470783058
Samoa,2011,70.16342979546627
Samoa,2010,71.3804515264329
Sierra Leone,2015,60.877169290734
Sierra Leone,2014,59.75743401244081
Sierra Leone,2013,68.070082923947
Sierra Leone,2012,60.63361091454082
Sierra Leone,2011,60.00641652883505
Sierra Leone,2010,58.738774318275055
Suriname,2015,71.83774265584286
Suriname,2014,71.5368015736577
Suriname,2013,71.53326721777296
Suriname,2012,71.11593927514663
Suriname,2011,71.17567209205296
Suriname,2010,74.45292107048392
Syrian Arab Republic,2015,61.800240773196776
Syrian Arab Republic,2014,62.92449888343623
Syrian Arab Republic,2013,68.91617876941181
Syrian Arab Republic,2012,70.60339968626661
Syrian Arab Republic,2011,67.48027200654884
Syrian Arab Republic,2010,66.72586892081436
United States of America,2015,77.87230700911701
United States of America,2014,78.44355229791157
United States of America,2013,78.35501883633881
United States of America,2012,79.68621193310788
United States of America,2011,78.46015491874294
United States of America,2010,78.33592330241645
Zambia,2015,64.46732005511784
Zambia,2014,63.31874226576657
Zambia,2013,62.348133522590736
Zambia,2012,59.398249981423156
Zambia,2011,60.40380759586834
Zambia,2010,56.88628222642626
